[train 14:09:36] fresh init raw c549bc02e974 ema c549bc02e974 | 6400 library formations | 56 cells
[train 14:10:02] p001 games 2048 rw/bw/d 814/784/450 | rows 3038 steps 15 | pol -3.0298 val 1.1754 kl 0.01396 H 1.824 | ema 592add85 | 25s (play 18)
[train 14:10:26] p002 games 2048 rw/bw/d 798/804/446 | rows 3022 steps 15 | pol -0.7055 val 1.1132 kl 0.00754 H 1.831 | ema 1b06aa75 | 25s (play 18)
[train 14:10:51] p003 games 2048 rw/bw/d 829/759/460 | rows 3024 steps 15 | pol 0.0980 val 1.1020 kl 0.00826 H 1.832 | ema 66576321 | 25s (play 18)
[train 14:11:17] p004 games 2048 rw/bw/d 803/802/443 | rows 3033 steps 15 | pol -0.2386 val 1.0855 kl 0.00223 H 1.826 | ema edee2ac4 | 26s (play 19)
[train 14:11:43] p005 games 2048 rw/bw/d 786/811/451 | rows 3027 steps 15 | pol -0.2007 val 1.0869 kl 0.00325 H 1.841 | ema 733586c7 | 26s (play 19)
[train 14:12:09] p006 games 2048 rw/bw/d 770/825/453 | rows 3020 steps 15 | pol -0.1704 val 1.0786 kl 0.00206 H 1.853 | ema 1a201551 | 26s (play 19)
[train 14:12:34] p007 games 2048 rw/bw/d 826/765/457 | rows 2991 steps 15 | pol -0.0609 val 1.0757 kl 0.00275 H 1.859 | ema 3ddbcf65 | 26s (play 19)
[train 14:13:00] p008 games 2048 rw/bw/d 802/815/431 | rows 3026 steps 15 | pol -0.0709 val 1.0670 kl 0.00068 H 1.859 | ema 5614eb8f | 26s (play 19)
[train 14:13:25] p009 games 2048 rw/bw/d 804/781/463 | rows 3061 steps 15 | pol -0.0651 val 1.0700 kl 0.00149 H 1.867 | ema fb0f1fb3 | 26s (play 19)
[train 14:13:50] p010 games 2048 rw/bw/d 804/782/462 | rows 3007 steps 15 | pol 0.0242 val 1.0712 kl 0.00052 H 1.871 | ema 8fa8dfb1 | 25s (play 18)
[train 14:14:16] p011 games 2048 rw/bw/d 802/793/453 | rows 3018 steps 15 | pol -0.0703 val 1.0730 kl 0.00094 H 1.873 | ema 4b782b3e | 26s (play 19)
[train 14:14:42] p012 games 2048 rw/bw/d 810/794/444 | rows 3017 steps 15 | pol 0.0638 val 1.0664 kl 0.00042 H 1.873 | ema ad2977ef | 26s (play 19)
[train 14:15:07] p013 games 2048 rw/bw/d 797/802/449 | rows 3021 steps 15 | pol -0.0484 val 1.0683 kl 0.00027 H 1.872 | ema 5eeff94b | 25s (play 18)
[train 14:15:32] p014 games 2048 rw/bw/d 808/777/463 | rows 3006 steps 15 | pol 0.0008 val 1.0728 kl 0.00093 H 1.872 | ema 54275617 | 25s (play 18)
[train 14:15:57] p015 games 2048 rw/bw/d 789/814/445 | rows 2986 steps 15 | pol -0.0121 val 1.0660 kl 0.00041 H 1.870 | ema f05ece48 | 25s (play 18)
[train 14:16:23] p016 games 2048 rw/bw/d 789/807/452 | rows 3036 steps 15 | pol -0.0118 val 1.0698 kl 0.00053 H 1.867 | ema 5c3cfd9f | 26s (play 19)
[train 14:16:49] p017 games 2048 rw/bw/d 792/802/454 | rows 3027 steps 15 | pol -0.0107 val 1.0707 kl 0.00044 H 1.864 | ema 5dac37f8 | 26s (play 19)
[train 14:17:13] p018 games 2048 rw/bw/d 756/834/458 | rows 3017 steps 15 | pol 0.0104 val 1.0742 kl 0.00026 H 1.864 | ema f8e1fd77 | 25s (play 18)
[train 14:17:39] p019 games 2048 rw/bw/d 785/801/462 | rows 3006 steps 15 | pol -0.0090 val 1.0737 kl 0.00072 H 1.862 | ema 4ca5ddac | 25s (play 18)
[train 14:18:03] p020 games 2048 rw/bw/d 795/797/456 | rows 3014 steps 15 | pol -0.0035 val 1.0708 kl 0.00088 H 1.856 | ema 0b382490 | 25s (play 18)
[train 14:18:28] p021 games 2048 rw/bw/d 826/778/444 | rows 3003 steps 15 | pol -0.0699 val 1.0667 kl 0.00068 H 1.858 | ema 6bfe6331 | 25s (play 18)
[train 14:18:54] p022 games 2048 rw/bw/d 815/792/441 | rows 2993 steps 15 | pol 0.0221 val 1.0689 kl 0.00075 H 1.856 | ema fb9ebecf | 26s (play 19)
[train 14:19:18] p023 games 2048 rw/bw/d 798/771/479 | rows 3029 steps 15 | pol -0.0207 val 1.0774 kl 0.00033 H 1.850 | ema 54c4fad2 | 25s (play 18)
[train 14:19:43] p024 games 2048 rw/bw/d 771/813/464 | rows 3025 steps 15 | pol 0.0292 val 1.0721 kl 0.00031 H 1.848 | ema 7d5ef5d2 | 24s (play 18)
[train 14:20:08] p025 games 2048 rw/bw/d 772/814/462 | rows 3025 steps 15 | pol -0.0039 val 1.0720 kl 0.00046 H 1.850 | ema ff2f0b6f | 25s (play 19)
